영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
krWOjh4F2qk,가장 보통의 연애,가장 보통의 연애 영화,[이다희X전혜진] 가장보통의연애 / 강사라X송가경,8745,274,14,2019-10-03T06:47:19Z
NcDb6Kzzfwk,가장 보통의 연애,가장 보통의 연애 영화,가장보통의 연애 (2019) 最普通的戀愛 預告片,6736,24,0,2019-10-12T07:58:19Z
kAQpsInvy5E,가장 보통의 연애,가장 보통의 연애 영화,"강기영의 왕따사건ㅋㅋㅋ💓가장 보통의 연애💓김래원, 공효진의 무대인사 #롯데시네마",5182,50,16,2019-10-16T02:36:47Z
qoyMEguJOE0,가장 보통의 연애,가장 보통의 연애 영화,&#39;조커&#39;부터 &#39;퍼펙트맨&#39;까지...가을 극장가 달굴까? / YTN,3689,14,5,2019-10-03T13:53:18Z
gF_bY7XbGhQ,가장 보통의 연애,가장 보통의 연애 영화,[4k30p][2019.10.05] 영화 가장 보통의 연애 (Crazy Romance) 무대인사 - 김래원 &amp; 공효진 &amp; 강기영,3277,51,5,2019-10-05T13:40:31Z
kkWHIM1NfxQ,가장 보통의 연애,가장 보통의 연애 영화,영화 속 &quot;그&quot; 게임하는 &quot;가장 보통의 연애&quot; 배우들!!,3217,54,7,2019-10-14T09:00:09Z
brcEzRcmNEM,가장 보통의 연애,가장 보통의 연애 영화,자체 무음처리된 공효진의 명대사 Live : Gong Hyo-jin&#39;s famous line : 김래원 : 영화 &#39;가장 보통의 연애&#39; 라이브챗 GV 관객과의대화,3049,38,2,2019-10-02T03:11:22Z
n7h_XvSWaWM,가장 보통의 연애,가장 보통의 연애 영화,가장 보통의 연애 _ 🍺영화 리뷰,2846,75,17,2019-10-04T09:00:07Z
9PzaOW3vwUw,가장 보통의 연애,가장 보통의 연애 영화,나도 가장 보통의 연애 좀 하고 싶었을 뿐인데....[어쩌다웹드- 8월작품],2597,16,14,2019-10-10T06:42:41Z
zzSqpPmvVBg,가장 보통의 연애,가장 보통의 연애 리뷰,술로 시작하는 연인들을 위해 | 영화 {가장 보통의 연애} 리뷰,2551,33,5,2019-10-13T05:28:28Z
rjfS6GuSsEc,가장 보통의 연애,가장 보통의 연애 리뷰,가장 보통의 연애 브이로그🍓 영화보고 오락하고 노래하고 먹고 별거없음돠,2224,57,16,2019-10-09T12:11:48Z
tCGyJsV2klo,가장 보통의 연애,가장 보통의 연애 리뷰,애써 묻어둔 연애 흑역사 강제 소환! #가장보통의연애 #공효진 #김래원 #로맨스 #동백꽃필무렵,1529,28,2,2019-10-02T15:36:26Z
2iaIcfODVlg,가장 보통의 연애,가장 보통의 연애 리뷰,연애의 목적과 가장보통의 연애 집중 비교 분석!!,1455,22,6,2019-10-12T13:08:23Z
AJBvcPNAq2k,가장 보통의 연애,가장 보통의 연애 리뷰,"[영화리뷰,결말포함] 술로시작해서 술로끝나는 로코 - [가장 보통의 연애]리뷰",1069,30,12,2019-10-17T11:37:36Z
7VCJswxCvyg,가장 보통의 연애,가장 보통의 연애 리뷰,가장 보통의 연애 무대인사 시사회를 가다! (Feat.김래원&amp;공효진&amp;강기영 배우님),719,10,2,2019-10-05T19:54:15Z
h91SZUCFnxw,가장 보통의 연애,가장 보통의 연애 리뷰,베트남 cgv영화티켓 가격은? 가장보통의연애 스위트박스,558,3,0,2019-10-21T14:03:16Z
EZnYLz-EUZU,가장 보통의 연애,가장 보통의 연애 리뷰,"가장 보통의 연애 | 김래원, 공효진 주연 | 결혼하지 않는 세대의 솔까말 [ 청바지 씬스틸러 ]",444,20,2,2019-10-22T23:06:45Z
Esbux4C_lq0,가장 보통의 연애,가장 보통의 연애 리뷰,[영화리뷰] 가장 보통의 연애 : 황야에서 온 그녀,391,6,0,2019-10-15T23:31:38Z
n56Dw9eEVWY,가장 보통의 연애,가장 보통의 연애 리뷰,[가장 보통의 연애] 15초 리뷰 예고편,368,5,0,2019-10-04T05:03:48Z
BdPOqAk-dVo,가장 보통의 연애,가장 보통의 연애 해석,"영화 &#39;가장 보통의 연애&#39; ost 색소폰,아코디나 연주",1219,11,6,2019-10-24T16:26:24Z
Vr4w8eT8-UY,가장 보통의 연애,가장 보통의 연애 해석,"[김재범의 무비게이션] &#39;가장 보통의 연애&#39;, 그 특별한 &#39;보통&#39;의 주파수  (노 스포 리뷰!)",150,2,0,2019-10-11T07:17:40Z
4B8ij48Gle8,가장 보통의 연애,가장 보통의 연애 의미,&#39;가장 보통의 연애&#39; 22개국 수출…&quot;멜로물로는 이례적&quot; / 연합뉴스TV (YonhapnewsTV),346,4,0,2019-10-08T13:44:41Z
eBRDtmcILaU,가장 보통의 연애,가장 보통의 연애 의미,로맨스영화-&#39;가장 보통의 연애 &#39; 개봉(korea movie-Crazy Romance),275,0,0,2019-10-02T04:52:51Z
R8jwkz6lDho,가장 보통의 연애,가장 보통의 연애 의미,서로를 향한 묘한 끌림 &#39;가장 보통의 연애&#39;[무한리필 샐러드] 20191010,124,2,0,2019-10-10T08:03:39Z
rD80iMdq87U,말모이,말모이 영화,"우리학교에서 일본어를 써야했던 실화, 말모이 리뷰",95293,1208,362,2019-01-10T11:29:11Z
t8Owd5O-Uw0,말모이,말모이 영화,아름다운 실화를 최대한 진부하게 연출한 영화: 말모이,88873,1020,418,2019-01-14T14:30:04Z
sud2XhczzwE,말모이,말모이 영화,영화 &#39;말모이&#39; 본 이낙연 총리…뒤풀이를 &#39;순우리말&#39;로만 보면? / 비디오머그,12149,225,83,2019-01-18T11:05:45Z
842MhcPcJ0Y,말모이,말모이 영화,"[인터뷰]&#39;말모이&#39; 덕진, 순희 기해년 인사… &quot;새해 복 많이 받고, 행복하세요&quot;",9932,131,19,2019-02-02T04:59:59Z
_id0AESpzIY,말모이,말모이 영화,말모이 ost &#39;푸른하늘 은하수&#39; (반달),8536,75,31,2019-01-12T10:16:20Z
-esIeit8TAE,말모이,말모이 영화,"190113 영화&#39;말모이&#39; 무대인사 - 유해진,박예나,조현도,김홍파,우현,김태훈,민진웅,엄유나감독",6972,63,18,2019-01-13T12:06:04Z
hWrZF0j1NqM,말모이,말모이 영화,"[전국구 시즌3] 번외편, &quot;말모이 보러 다모이!&quot;",5999,481,16,2019-01-17T13:28:14Z
M26NwwAOAl0,말모이,말모이 영화,영화관 찾은 이낙연 총리에게 쏟아진 격한 환영! 영화 &#39;말모이&#39; 관람 후 치맥파티까지 함께한 이들은 누구~?,5441,405,38,2019-01-18T09:58:38Z
WvU4cAUwvZw,말모이,말모이 영화,말모이 _ 🍺영화 리뷰,4705,123,29,2019-01-09T09:53:15Z
KZeziVtsuU4,말모이,말모이 영화,"우리말 지킨 사람들 영화 &#39;말모이&#39;, 그 진실과 허구 사이 / YTN",4620,18,5,2019-01-19T20:57:29Z
_4UK226Qops,말모이,말모이 영화,아재개그 전수 받은 말모이 수강생들 [신스틸러 SSUL],3640,97,6,2019-01-15T11:00:03Z
OOmVCJYzvzU,말모이,말모이 영화,[일본반응] 영화 말모이 호평에 &quot;한글을 살려낸 것은 일본제국!&quot;,3585,21,53,2019-01-19T21:30:00Z
0UjvAvcqfHk,말모이,말모이 영화,한글 쓰기 handwriting Korean 말모이,2529,44,7,2019-01-21T16:04:26Z
U95wVOn4fIo,말모이,말모이 영화,20190112 영화 &#39;말모이&#39;..최현배 선생 기린다,2288,20,6,2019-01-14T06:14:05Z
02Qwf5fcoXM,말모이,말모이 영화,"영화 말모이 감독 &quot;주인공 역 유해진 밖에 떠오르지 않아... &#39;귀한 배우&#39;&quot;｜우리말을 지키기 위한 이름 없는 이들의 피, 땀, 눈물｜엄유나 감독｜시사자키 정관용입니다",1728,11,2,2019-01-11T13:16:20Z
Ke68QORMAyE,말모이,말모이 영화,영화 말모이 솔직리뷰,1652,17,3,2019-01-09T13:44:08Z
O79rOHcsZSQ,말모이,말모이 영화,한국 영화 신작 &#39;말모이&#39; 유해진 &amp; 윤계상 인터뷰 / YTN KOREAN,1634,14,0,2019-01-11T08:34:54Z
DG8-rvdO3Us,말모이,말모이 영화,추억의 오락실 부터 영화까지...영화관 데이트(feat.말모이) 브이로그vlog,1555,21,4,2019-01-21T04:03:31Z
s950E8qgBWo,말모이,말모이 영화,190119 윤계상 말모이 무대인사 @왕십리cgv,1442,29,3,2019-01-19T15:58:05Z
EHQnNry2Wpo,말모이,말모이 영화,우리말 지켜낸 사람들의 이야기…영화 &#39;말모이&#39; 주목 / SBS,1361,8,2,2019-01-12T00:07:44Z
yMvkoorN4Is,말모이,말모이 명장면,[말모이] 이 영화도 신파가 있다!! 그치만.. 그치만...,429,3,1,2019-01-25T12:30:04Z
HN-e8OH3NmU,말모이,말모이 리뷰,리뷰 : 국어강사가 본 영화 [ 말모이 ],1454,16,5,2019-02-02T05:00:04Z
5OT3GyL8lPY,말모이,말모이 리뷰,(신작리뷰)TV드라마같은 전개 : 말모이,1351,20,4,2019-01-10T13:05:33Z
H0VR8l1RINo,말모이,말모이 리뷰,3분이면 충분한 &#39;말모이&#39; 리뷰,919,17,6,2019-01-12T19:54:01Z
ORTYoV2KPX0,말모이,말모이 리뷰,말모이/일제강점기 우리말을 지켜낸 사람들의 이야기. 그들이 지킨것은 말 뿐만이 아니었다,741,12,8,2019-01-28T12:31:20Z
FfpGdDd7fTo,말모이,말모이 리뷰,영화 말모이 리뷰_이 영화를 꼭 봐야 하는 이유?_나간자식들Ep11,417,30,6,2019-01-17T09:00:00Z
zfdZfQMOBNI,말모이,말모이 리뷰,[쉬운영화이야기] 영화 &#39;말모이&#39; : 열 사람의 한 걸음이 모이면,239,10,2,2019-01-14T10:52:31Z
wzFEJLqMJ9I,말모이,말모이 리뷰,영화&#39;말모이&#39;가 실제 이야기?! 우리나라 역사에는 영화 소재들이 너무 많네요!! 돼호고라스의 세상에서 가장주관적인 리뷰 #19,183,8,2,2019-01-11T12:00:37Z
OOkdwPc0gh8,말모이,말모이 리뷰,[KOR][영화 추천]  말모이 - 좋은 건 소문내야 제 맛!,166,11,6,2019-01-20T17:41:08Z
W_eoPj_81vw,말모이,말모이 리뷰,희동이의 잡과사전-영화 ‘말모이’ 관람 후기,160,12,0,2019-01-10T10:54:17Z
HJ-evoNtC-s,말모이,말모이 리뷰,5분 간증 [영화 말모이 후기] 한 사람의 열 걸음이 아니라 열 사람의 한 걸음을!,136,13,2,2019-02-02T02:38:28Z
84NtBa0cZV0,말모이,말모이 리뷰,국뽕이긴 한데요.. ┃제.보.남 영화 &#39;말모이&#39; 리뷰,122,5,0,2019-01-26T10:00:03Z
HWpEiu8rYTg,말모이,말모이 리뷰,영화 말모이 시사회 후기라 쓰고 팝콘 먹방이라 읽는다,104,11,4,2019-01-12T15:15:00Z
eLKjrkF1cXk,말모이,말모이 리뷰,[영화리뷰] 우리말의 소중함을 알게하는 영화 &#39;말모이&#39; 리뷰,88,5,6,2019-01-10T23:45:39Z
j6AJgZBl4ww,말모이,말모이 리뷰,[말모이] 이 시대에 필요한 좋은 영화,77,5,0,2019-01-11T09:12:48Z
jk_DUzAYJkk,말모이,말모이 해석,땡깡의 뜻을 알면 절대 못 쓴다? (feat.말모이),5175,20,5,2019-01-09T01:51:21Z
XgHQjwIByqo,증인,증인 영화,"정우성, 김향기의 첫만남 대사 live : 영화 &#39;증인&#39; GV 중에서 : 롯데시네마 월드타워 : 거절합니다",287152,4203,278,2019-02-13T17:15:04Z
IbQE3bqnOz4,증인,증인 영화,코감기 걸린 정우성을 예능으로 살려내는 박지선 : 김향기 : 영화 &#39;증인&#39; GV 중에서 : 롯데시네마 월드타워,138303,1197,68,2019-02-14T06:39:51Z
8h0lQtkxJlI,증인,증인 영화,[증인] 역대급 평점의 진실 증거 영상,137671,1259,168,2019-02-20T02:36:14Z
