영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
mp1fWTZO4wU,시동,시동 리뷰,"단발병 퇴치 영화, 시동 영화 솔직 후기 E.14 / 크리스마스 특집 동네 여동생과 보는/ Movie Real Review, START-UP / Korea theater",366,27,30,2019-12-24T17:09:39Z
vCeq9aUfWIQ,시동,시동 리뷰,"마동석, 박정민 주연 영화 [시동] 리뷰!! 조금산 작가의 인기 웹툰 시동 영화화!! I 출생비밀",301,14,4,2020-01-14T08:27:39Z
-hNzHTVS0LA,시동,시동 리뷰,【시동/START UP】 코믹적인 면이 아쉽지만 드라마는 괜찮다 (스포X) - 시동 보자마자 가이드 리뷰,294,6,10,2019-12-18T23:01:15Z
pMcbDlthEXE,시동,시동 리뷰,"[시동 보기 전에 꼭 보고 가세요] 재미 부족, 감동은 글쎄 영화 &#39;시동&#39; 가이드 리뷰 [문화골목 O.S.R EP.20]",280,19,1,2019-12-21T05:37:49Z
QLfHgShIffs,시동,시동 리뷰,영화 &quot;시동&quot; 리뷰. 스포없는 솔직후기. 평일데이트♡,214,12,5,2019-12-18T13:11:29Z
g-OnOW0_sp8,시동,시동 리뷰,빵빵 터지는 영화 [시동]2019 보자마자 리뷰,205,4,0,2019-12-18T08:19:22Z
BA8vvan4UYk,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,[문명특급 EP.98] 전도연 정우성이 여기 왜 와? 와주셔서 감사합니다,1795142,33943,1728,2020-02-20T08:00:12Z
7Q7tz0hou2M,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,돈을 향한 욕망은 인간을 어디까지 잔혹하게 만드는가: 지푸라기라도 잡고 싶은 짐승들 리뷰,238578,2300,317,2020-03-06T10:30:11Z
96-PeVr8xjg,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,영화 [지푸라기라도 잡고 싶은 짐승들]  스포일러 리뷰,34589,197,69,2020-02-21T12:23:45Z
rdzNpImx-do,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,지푸라기라도 잡고 싶은 짐승들 신현빈,25080,67,12,2020-03-17T23:45:49Z
CCuKR5wa7v4,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,200215 지푸라기라도 잡고 싶은 짐승들 / 무비 빅스타 / 신현빈(Shin Hyun Been) CUT,21033,170,7,2020-03-03T17:48:34Z
PtD8-K1F118,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,200220 MMTG 신현빈(Shin Hyun Been) CUT,18755,192,6,2020-03-04T15:08:33Z
dhTyIj1fE_U,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,[지푸라기라도 잡고 싶은 짐승들] 무삭제 3분 영상,14024,41,7,2020-02-21T08:54:03Z
fiBcdKA5fpQ,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,Beasts Clawing at Straws (2020) 지푸라기라도 잡고 싶은 짐승들 Movie Review | EONTALK,13862,170,19,2020-03-09T09:45:01Z
gAZX81e7WbI,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,이 영화가 애매모호한 이유 - 지푸라기라도 잡고 싶은 짐승들,13061,404,49,2020-03-10T00:00:04Z
tqRs-HPLlSg,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,지푸라기라도 잡고 싶은 짐승들 Special Bonus Clip 신현빈(Shin Hyun Been) CUT,13952,190,4,2020-03-03T16:46:07Z
VdJq4n5ROFU,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,[지푸라기라도 잡고 싶은 짐승들] 기승전도연 열연영상,12537,81,8,2020-02-27T10:03:18Z
ELY0GXOxHIM,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,&#39;지푸라기 짐승들&#39;...미쳤습니까?? 리얼 솔직 리뷰 (*스포없음),11813,148,67,2020-02-19T07:00:00Z
CXlSRcFBn6E,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,200121 지푸라기라도 잡고 싶은 짐승들 무비토크 신현빈(Shin Hyun Been) CUT,7394,138,4,2020-03-03T17:13:36Z
3-rEAgsKBHw,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,200206 지푸들 씨네타운 신현빈(Shin Hyun Been),5657,108,7,2020-03-04T13:50:56Z
aXkmDPZbtvI,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,영화[지푸라기라도 잡고 싶은 짐승들]리뷰:캐스팅빨 내세우는 영화,4738,51,99,2020-02-19T11:30:02Z
ZZL27iPWsJU,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,지푸라기라도 잡고 싶은 짐승들 무대인사2,4394,0,0,2020-02-25T21:01:15Z
jhVhhWLR2oc,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,지푸라기라도 잡고 싶은 짐승들 리뷰 [보자마자 알려줌] 이 영화 이름만 기억해주세요.,3825,57,4,2020-02-28T05:54:24Z
Zu1t56m7uRA,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,200118 지푸라기라도 잡고 싶은 짐승들 아찔한 인터뷰 신현빈(Shin Hyun Been) CUT,3235,49,0,2020-03-03T14:52:41Z
D9Jsb_mZLRI,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,180425 미스트리스 X 앞터V 신현빈(Shin Hyun Been) CUT,2995,62,0,2020-03-01T05:56:19Z
oQA1BJa4LFw,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 영화,[투데이 연예톡톡] &#39;지푸라기라도…&#39; 개봉 첫날 1위 등극 (2020.02.21/뉴스투데이/MBC),2913,33,7,2020-02-20T22:36:29Z
dbGD4dF9fbQ,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,지푸라기라도 잡고 싶은 짐승들 전도연,2478,8,1,2020-03-17T23:51:18Z
5tvW7nCPloE,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,"모든 것은 돈 가방과 함께 시작되었다! 영화 [지푸라기라도 잡고 싶은 짐승들]의 배우 ‘전도연’, ‘정우성’, ‘신현빈’, ‘정가람’ 인터뷰!",1841,14,5,2020-03-06T06:00:29Z
KL89dSBJOGs,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,[지푸라기라도 잡고 싶은 짐승들] 네분토론,1048,112,18,2020-03-01T21:29:37Z
wd3NSJj6adk,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,[영화 vs 소설] 지푸라기라도 잡고 싶은 짐승들 영화와 원작 소설 속 캐릭터 비교,1024,21,8,2020-02-23T08:59:25Z
GLAUGFW9dH4,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,"&#39;지푸라기라도 잡고 싶은 짐승들&#39; 줄거리및 캐릭터 소개 영상(정우성,전도연주연)",819,0,5,2020-02-27T14:04:24Z
B7VAc6D62Ko,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,영화 [지푸라기라도 잡고 싶은 짐승들]솔직 감상 리뷰. 왜 이제 나왔나요?,307,13,2,2020-02-21T09:30:00Z
8RmWQJpr5Ls,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,아재가 알려주는 띵작 ㅣ지푸라기라도 잡고 싶은 짐승들,213,7,5,2020-03-01T13:28:51Z
39UeYLhnuGw,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,지푸라기라도 잡고 싶은 짐승들 _ 시국따라 골로 가버린 안타까운 케이스,180,16,10,2020-03-02T17:41:55Z
M1T5vMBcDwM,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,[영화리뷰] 지푸라기라도 잡고 싶은 짐승들,109,1,2,2020-02-26T11:40:56Z
-pKzVFYPtc0,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,#지푸라기라도잡고싶은짐승들 #무삭제3분영상,39,1,0,2020-02-21T12:05:30Z
xZFyPqbx8ow,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 명장면,[지푸라기라도 잡고 싶은 짐승들] 티저 예고편,6,0,0,2020-03-04T05:13:02Z
F_9JvSacq5s,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,무한도전보다 별로였다고? 관람객들 진짜 반응은? - 지푸라기라도 잡고 싶은 짐승들,9468,294,21,2020-03-11T00:00:03Z
GCRcrKut7Y8,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,지푸라기라도잡고싶은짐승들 영화 리뷰(약스포),2476,9,1,2020-02-21T10:38:00Z
B7GfF4qNNyo,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,Beasts Clawing at Straws (2020) - Korean Movie Review 지푸라기라도 잡고 싶은 짐승들 Jeon Do-yeon &amp; Jung Woo-sung,1500,41,12,2020-02-21T16:14:46Z
0iDfdfNuq-E,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,영화 [지푸라기라도 잡고 싶은 짐승들] 스포리뷰 _ &quot;기둥없이 흔들리는 나뭇가지&quot;,571,26,13,2020-02-21T09:00:22Z
CHSIOVyQtDc,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,전도연이 진짜 짐승으로 변해버린 영화 (1분 초심플 리뷰),387,6,2,2020-02-21T08:45:00Z
cpy0X92-Q0c,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,10억이 하늘에서 떨어졌다! 님들의 선택은..? 지푸라기라도 잡고 싶은 짐승들 리뷰,300,15,0,2020-03-13T15:46:53Z
78lCw2M731A,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,[장영준의 잇무비] &#39;큰돈 들어왔을 땐 아무도 믿음 안돼&#39; 영화 &#39;지푸라기라도 잡고 싶은 짐승들&#39;,183,5,0,2020-02-24T07:59:12Z
auQJLnRr_6M,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 리뷰,영화 [지푸라기라도 잡고 싶은 짐승들] 리뷰 보자마자알려주는 영화리뷰,143,9,0,2020-02-20T15:44:58Z
Qt1j6QHJzYI,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 해석,지푸라기라도 잡고 싶은 짐승들 하이라이트,1463,4,0,2020-03-17T23:47:20Z
Fljvu01Bp4A,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 해석,영화 지푸라기라도 잡고 싶은 짐승들로 보는 프로이트 심리학 꿈해석,254,10,3,2020-02-24T09:59:30Z
OpEA2DGIJyk,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 의미,[영화리뷰] 지푸라기라도 잡고 싶은 짐승들,79,1,0,2020-02-26T11:38:58Z
BTXRQLs1qxk,지푸라기라도 잡고 싶은 짐승들,지푸라기라도 잡고 싶은 짐승들 의미,지푸라기라도잡고싶은짐승들 후기+해석은댓글로 했습니다,63,1,1,2020-02-19T06:37:53Z
dbetLcy3UDg,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,Mr. Zoo: The Missing VIP (2020) 미스터 주: 사라진 VIP Movie Trailer 2 | EONTALK,93809,758,37,2020-01-22T04:45:01Z
caB5Y-xPjG8,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,"2020 설 한국 영화 삼파전! 남산의 부장들, 히트맨, 미스터 주! 어떤 영화 골라야 할지 알려드립니다! - 다 까는 후기 설 특집",81551,1388,356,2020-01-25T12:14:37Z
rYrMRb_2Bns,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[광고] 헐 이 배우가 더빙했다고? 상상도 못한 정체 ㄴㅇㄱ | 미스터 주: 사라진 VIP | 이성민 | 김서형 | 배정남 | 딩고무비,32857,411,104,2020-01-31T11:00:13Z
Vp5obivalpw,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,(영화 미스터주)호랑이 한남자 Cover 조준호(kimjongkook oneman),28270,579,437,2020-01-24T05:32:01Z
eH_wQ9U8Vh0,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,벌써 2020년 망작영화 대상 후보가 나왔다? - 미스터 주 : 사라진 VIP,26583,781,155,2020-02-01T13:00:09Z
6wAu5TJLwZ0,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,영화 [미스터 주 : 사라진 VIP] 리뷰,9765,68,90,2020-01-24T12:00:01Z
5e37iRqtpo4,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,"[명장면] 중년의 아버님이 갑자기 동물의 말이 들린다고 하는데... - 미스터 주:사라진 VIP/[Best scene] MR. ZOO: THE MISSING VIP, 2019",6393,55,8,2020-02-17T01:40:25Z
bv7w1nnL19w,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,미스터 주: 사라진 VIP,0,201,47,2020-02-13T15:00:07Z
11TdOysHLHg,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[Vlog] 영화 미스터주 호랑이 단역 배우 데뷔~! 노래 녹음 현장,4670,78,34,2020-01-27T07:03:03Z
1pLmJLm38eo,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[미스터 주:사라진 VIP] 리뷰/남산의 부장들이 흥행할 수 밖에 없는 이유,3869,50,99,2020-01-22T11:55:11Z
OevjNYrUR-E,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,"김서형(金瑞亨, Kim Seo-hyung) 배우의 반전 넘치는 애교만점 팬서비스 무대인사(feat. 미스터 주: 사라진 VIP 무대인사)",3074,145,8,2020-02-02T14:09:04Z
_9UhGRt86vE,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,"1+1 - 미스터주, 파퍼씨네 펭귄들 (200208 영화가 좋다)",1538,7,0,2020-02-10T01:32:40Z
Se8eWC3VzYg,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,20200124 미스터주-사라진 VIP 무대인사 김서형 배우님 (왕십리 cgv),1158,60,5,2020-01-24T17:28:48Z
70Ej0tr0XCU,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,"동물들의 말이 들리는 순간, 수사의 파트너가 바뀐다! 영화 [미스터 주: 사라진 VIP]의 배우 ‘이성민’, ‘김서형’, ‘배정남’ 인터뷰!",1076,16,0,2020-01-29T07:00:00Z
Q2nXFpkLeXE,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,&#39;히트맨&#39;·&#39;미스터주&#39; 등 코미디 영화 격돌…흥행 성공할까?,1028,7,0,2020-01-25T11:11:44Z
lv7IV1787pg,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[인.잘 권소라👋] 미스터주 무대인사🐯| 부평역사 롯데시네마🎬,1003,12,4,2020-01-26T14:49:15Z
i8zMjI95Cfk,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[아맹TV] 미스터 주 사라진 VIP (MR. ZOO: THE MISSING VIP) 무대인사 in 인천CGV,695,20,1,2020-01-26T11:58:49Z
LMjjbSg5cmU,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,이번 설 연휴엔 어떤 영화를 볼까? 설 연휴 개봉작 리뷰토크,535,8,0,2020-01-23T14:00:06Z
hlZND5YbAYk,미스터 주: 사라진 VIP,미스터 주: 사라진 VIP 영화,[K-CELEB] &#39;미스터 주&#39; 이성민 &amp; 김서형  / YTN KOREAN,451,5,0,2020-01-30T06:36:59Z
